"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2017,5,1,418,439,6.70982534885395,6.70982534885395,12.5103196507087,0.139555720674789,12.5103355592395,0.139553532335325,12.5103276049741,4.69810596890153,4.69810596890153,12.5855294690283,0.109224164481059,12.5831097030772,0.109566662876653
2017,5,2,418,439,6.86659696915428,6.70982534885395,12.5102252768447,0.139568702460606,12.5103355592395,0.139553532335325,12.5102804180421,4.80274084571448,4.69810596890153,12.5844291057736,0.10937992020847,12.5831097030772,0.109566662876653
2017,10,0,390,412,6.52902644119574,6.70982534885395,12.6233358115939,0.12393927674045,12.5007199887039,0.140875719744977,12.5620279001489,4.51424108638754,4.69810596890153,12.5552065979639,0.113511364573991,12.5789845967711,0.110150386643102
2017,10,0.1,390,412,6.6636969733801,6.70982534885395,12.5160450519547,0.138767968454538,12.5007199887039,0.140875719744977,12.5083825203293,4.46275164033416,4.69810596890153,12.5427174985719,0.115274129370634,12.5789845967711,0.110150386643102
2017,10,0.25,390,412,6.58401612356294,6.70982534885395,12.4919439421404,0.142081581181929,12.5007199887039,0.140875719744977,12.4963319654222,4.61460882490446,4.69810596890153,12.5555606974503,0.113461359885561,12.5789845967711,0.110150386643102
2017,10,0.5,390,412,6.62595253199328,6.70982534885395,12.4831016043133,0.143295694801316,12.5007199887039,0.140875719744977,12.4919107965086,4.64244120623682,4.69810596890153,12.5634953704289,0.112340483310359,12.5789845967711,0.110150386643102
2017,10,1,390,412,6.70982534885395,6.70982534885395,12.4829200275593,0.143320617526523,12.5007199887039,0.140875719744977,12.4918200081316,4.69810596890153,4.69810596890153,12.569264445404,0.111525081240777,12.5789845967711,0.110150386643102
2017,10,2,390,412,6.8775709825753,6.70982534885395,12.4874648717692,0.142696695703677,12.5007199887039,0.140875719744977,12.4940924302366,4.80943549423095,4.69810596890153,12.5732294420864,0.11096445086224,12.5789845967711,0.110150386643102
2017,15,0,334,353,6.32225628466049,6.70982534885395,12.6857486432012,0.11525494789896,12.5505414996226,0.134014008582625,12.6181450714119,4.36925380483664,4.69810596890153,12.6347725577548,0.102239894572209,12.5639556046089,0.112275447471122
2017,15,0.1,334,353,6.50257886258401,6.70982534885395,12.662572034724,0.118484817697411,12.5505414996226,0.134014008582625,12.6065567671733,4.65194092981308,4.69810596890153,12.5594981957018,0.112905225151551,12.5639556046089,0.112275447471122
2017,15,0.25,334,353,6.62409092112505,6.70982534885395,12.6452227619092,0.120898730173067,12.5505414996226,0.134014008582625,12.5978821307659,4.31684931607373,4.69810596890153,12.5395473637087,0.115721296563442,12.5639556046089,0.112275447471122
2017,15,0.5,334,353,6.61229881762061,6.70982534885395,12.6298825506617,0.123030352461608,12.5505414996226,0.134014008582625,12.5902120251422,4.63339376547314,4.69810596890153,12.5326036682275,0.116700352955359,12.5639556046089,0.112275447471122
2017,15,1,334,353,6.70982534885395,6.70982534885395,12.611092257937,0.125637860210762,12.5505414996226,0.134014008582625,12.5808168787798,4.69810596890153,4.69810596890153,12.5340048348992,0.116502833071229,12.5639556046089,0.112275447471122
2017,15,2,334,353,6.90487841132064,6.70982534885395,12.591497631207,0.128352849406866,12.5505414996226,0.134014008582625,12.5710195654148,4.82753037575832,4.69810596890153,12.539879932727,0.115674390946902,12.5639556046089,0.112275447471122
2017,20,0,249,257,6.2913101401274,6.11374295791534,12.5986285983233,0.127365286621072,12.5712023328541,0.131160471284227,12.5849154655887,4.12336560609144,4.28073918314695,12.5548920813763,0.113555778321576,12.6001051627941,0.107159699219706
2017,20,0.1,249,257,5.90278146310276,6.11374295791534,12.5903810803357,0.128507429149955,12.5712023328541,0.131160471284227,12.5807917065949,4.12967706573812,4.28073918314695,12.5466808351182,0.114714917162286,12.6001051627941,0.107159699219706
2017,20,0.25,249,257,6.02219870097559,6.11374295791534,12.578930764414,0.13009186532531,12.5712023328541,0.131160471284227,12.575066548634,4.21244402906528,4.28073918314695,12.5608453036003,0.112714918748113,12.6001051627941,0.107159699219706
2017,20,0.5,249,257,5.99571703208686,6.11374295791534,12.5713622046524,0.131138372551351,12.5712023328541,0.131160471284227,12.5712822687532,4.47610638645426,4.28073918314695,12.5755031995167,0.110642873342991,12.6001051627941,0.107159699219706
2017,20,1,249,257,6.11374295791534,6.11374295791534,12.5655985650939,0.131934890413403,12.5712023328541,0.131160471284227,12.568400448974,4.28073918314695,4.28073918314695,12.584174760522,0.109415920681319,12.6001051627941,0.107159699219706
2017,20,2,249,257,6.3497948095723,6.11374295791534,12.5635575928778,0.132216859135711,12.5712023328541,0.131160471284227,12.5673799628659,4.44106649337717,4.28073918314695,12.5910044743836,0.108448978456808,12.6001051627941,0.107159699219706
