"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2013,10,"Home",5,0,0
2013,10,"Away",0,16432,71296.5
2013,10,"Away",1,410,1586
2013,10,"Away",2,44,149.5
2013,10,"Away",3,6,30.5
2013,10,"Away",4,0,0
2013,10,"Away",5,0,0
2013,15,"Home",0,12463,55193.5
2013,15,"Home",1,3658,14799.5
2013,15,"Home",2,633,2485.5
2013,15,"Home",3,111,476
2013,15,"Home",4,23,91.5
2013,15,"Home",5,4,16.5
2013,15,"Away",0,12120,53957
2013,15,"Away",1,3885,15749.5
2013,15,"Away",2,692,2581
2013,15,"Away",3,162,619.5
2013,15,"Away",4,25,115
2013,15,"Away",5,8,40.5
2013,20,"Home",0,5796,26677.5
2013,20,"Home",1,6579,28841.5
2013,20,"Home",2,3206,12547.5
2013,20,"Home",3,1074,4107
2013,20,"Home",4,203,768.5
2013,20,"Home",5,34,120.5
2013,20,"Away",0,5352,25445
2013,20,"Away",1,6629,28334.5
2013,20,"Away",2,3410,13635.5
2013,20,"Away",3,1240,4652.5
2013,20,"Away",4,224,832
2013,20,"Away",5,37,163
2013,25,"Home",0,745,3515
2013,25,"Home",1,4332,20067
2013,25,"Home",2,6215,27427
2013,25,"Home",3,4062,16320.5
2013,25,"Home",4,1301,4881.5
2013,25,"Home",5,237,851.5
2013,25,"Away",0,709,3743
2013,25,"Away",1,3870,17723.5
2013,25,"Away",2,6211,27118
2013,25,"Away",3,4235,17227.5
2013,25,"Away",4,1575,6133
2013,25,"Away",5,292,1117.5
2013,30,"Home",0,0,0
2013,30,"Home",1,139,715
2013,30,"Home",2,1959,9061.5
2013,30,"Home",3,5411,24151.5
2013,30,"Home",4,7134,30324
2013,30,"Home",5,2249,8810.5
2013,30,"Away",0,0,0
2013,30,"Away",1,201,982
2013,30,"Away",2,1978,9240.5
2013,30,"Away",3,5086,22859
2013,30,"Away",4,6999,29813.5
2013,30,"Away",5,2628,10167.5
2014,0,"Home",0,16994,75728
2014,0,"Home",1,0,0
2014,0,"Home",2,0,0
2014,0,"Home",3,0,0
2014,0,"Home",4,0,0
2014,0,"Home",5,0,0
2014,0,"Away",0,16994,75728
2014,0,"Away",1,0,0
2014,0,"Away",2,0,0
2014,0,"Away",3,0,0
2014,0,"Away",4,0,0
2014,0,"Away",5,0,0
2014,5,"Home",0,16914,75467.5
2014,5,"Home",1,79,256.5
2014,5,"Home",2,1,4
2014,5,"Home",3,0,0
2014,5,"Home",4,0,0
2014,5,"Home",5,0,0
2014,5,"Away",0,16929,75536.5
2014,5,"Away",1,65,191.5
