"season","min_minutes","model","dummy_penalty_ratio","term","coefficient","term_type","player_id"
2007,10,"dummy",2.2,"player__377",-2.08590678171115,"player","377"
2007,10,"dummy",2.2,"player__378",0.15788091362926,"player","378"
2007,10,"dummy",2.2,"player__383",-0.301445629393485,"player","383"
2007,10,"dummy",2.2,"player__385",1.89594470628704,"player","385"
2007,10,"dummy",2.2,"player__387",-0.747975539261854,"player","387"
2007,10,"dummy",2.2,"player__396",-1.53283559471558,"player","396"
2007,10,"dummy",2.2,"player__398",-0.306117401981217,"player","398"
2007,10,"dummy",2.2,"player__402",0.0781022146308722,"player","402"
2007,10,"dummy",2.2,"player__406",-0.0577886676115959,"player","406"
2007,10,"dummy",2.2,"player__42",0.765700168753131,"player","42"
2007,10,"dummy",2.2,"player__429",1.59521950155902,"player","429"
2007,10,"dummy",2.2,"player__434",-0.310040897762237,"player","434"
2007,10,"dummy",2.2,"player__44",0.140975945204575,"player","44"
2007,10,"dummy",2.2,"player__440",0.19951229312038,"player","440"
2007,10,"dummy",2.2,"player__45",0.448871889715152,"player","45"
2007,10,"dummy",2.2,"player__454",0.0884646374138558,"player","454"
2007,10,"dummy",2.2,"player__469",0.222522395664876,"player","469"
2007,10,"dummy",2.2,"player__489",-1.288092594882,"player","489"
2007,10,"dummy",2.2,"player__49",1.46923448936672,"player","49"
2007,10,"dummy",2.2,"player__496",0.379190877527717,"player","496"
2007,10,"dummy",2.2,"player__497",1.6930280309665,"player","497"
2007,10,"dummy",2.2,"player__498",-1.70254914286624,"player","498"
2007,10,"dummy",2.2,"player__509",-1.05288829408984,"player","509"
2007,10,"dummy",2.2,"player__510",2.42719775111,"player","510"
2007,10,"dummy",2.2,"player__512",0.363608073401422,"player","512"
2007,10,"dummy",2.2,"player__515",-0.19469045532914,"player","515"
2007,10,"dummy",2.2,"player__518",-0.470861164806338,"player","518"
2007,10,"dummy",2.2,"player__530",-0.180220970561935,"player","530"
2007,10,"dummy",2.2,"player__532",2.2781475805745,"player","532"
2007,10,"dummy",2.2,"player__535",-0.831502085781289,"player","535"
2007,10,"dummy",2.2,"player__539",-0.286969203496566,"player","539"
2007,10,"dummy",2.2,"player__556",0.310614815745831,"player","556"
2007,10,"dummy",2.2,"player__557",-0.410503668383874,"player","557"
2007,10,"dummy",2.2,"player__558",-1.40439265509268,"player","558"
2007,10,"dummy",2.2,"player__566",-0.21103570282414,"player","566"
2007,10,"dummy",2.2,"player__568",-1.09710784552245,"player","568"
2007,10,"dummy",2.2,"player__575",-0.478800603451817,"player","575"
2007,10,"dummy",2.2,"player__580",0.174342053210111,"player","580"
2007,10,"dummy",2.2,"player__588",1.08738947424513,"player","588"
2007,10,"dummy",2.2,"player__591",-0.101124300950185,"player","591"
2007,10,"dummy",2.2,"player__592",4.12056955623336,"player","592"
2007,10,"dummy",2.2,"player__598",2.04533776357386,"player","598"
2007,10,"dummy",2.2,"player__601",0.330487900065595,"player","601"
2007,10,"dummy",2.2,"player__609",3.52260708324558,"player","609"
2007,10,"dummy",2.2,"player__61",0.870824796991342,"player","61"
2007,10,"dummy",2.2,"player__614",0.20378402144581,"player","614"
2007,10,"dummy",2.2,"player__615",-0.194618815759868,"player","615"
2007,10,"dummy",2.2,"player__617",0.0412708069348626,"player","617"
2007,10,"dummy",2.2,"player__620",-1.44848365709212,"player","620"
2007,10,"dummy",2.2,"player__621",-0.987188278735209,"player","621"
2007,10,"dummy",2.2,"player__623",-0.846328141901688,"player","623"
2007,10,"dummy",2.2,"player__63",2.94838127686382,"player","63"
2007,10,"dummy",2.2,"player__635",-0.0829170021527951,"player","635"
2007,10,"dummy",2.2,"player__638",-0.48417465605792,"player","638"
2007,10,"dummy",2.2,"player__640",-2.89666045120609,"player","640"
2007,10,"dummy",2.2,"player__656",0.328796882613849,"player","656"
2007,10,"dummy",2.2,"player__6569",-0.805722039704677,"player","6569"
2007,10,"dummy",2.2,"player__662",0.919766283311933,"player","662"
2007,10,"dummy",2.2,"player__664",-0.664466505208599,"player","664"
2007,10,"dummy",2.2,"player__671",0.0556594062479324,"player","671"
2007,10,"dummy",2.2,"player__682",-0.0638093162511864,"player","682"
2007,10,"dummy",2.2,"player__692",1.43932145664624,"player","692"
2007,10,"dummy",2.2,"player__70",-1.90025751058124,"player","70"
2007,10,"dummy",2.2,"player__703",-0.45773069553786,"player","703"
2007,10,"dummy",2.2,"player__714",-1.05138870889233,"player","714"
2007,10,"dummy",2.2,"player__738",-1.00487851470098,"player","738"
2007,10,"dummy",2.2,"player__739",-1.16177237167605,"player","739"
2007,10,"dummy",2.2,"player__741",-1.32739735083049,"player","741"
2007,10,"dummy",2.2,"player__77",-0.115621884680364,"player","77"
2007,10,"dummy",2.2,"player__779",-1.91100224777046,"player","779"
2007,10,"dummy",2.2,"player__788",0.108311175456964,"player","788"
2007,10,"dummy",2.2,"player__796",-1.02708723309394,"player","796"
2007,10,"dummy",2.2,"player__802",1.49266535248553,"player","802"
2007,10,"dummy",2.2,"player__808",-3.04449862110278,"player","808"
2007,10,"dummy",2.2,"player__813",0.271729918643792,"player","813"
2007,10,"dummy",2.2,"player__817",-0.898301620887883,"player","817"
2007,10,"dummy",2.2,"player__829",-0.772709590723505,"player","829"
2007,10,"dummy",2.2,"player__83",1.4851803492319,"player","83"
2007,10,"dummy",2.2,"player__831",-0.847514183924441,"player","831"
2007,10,"dummy",2.2,"player__837",-0.39870369632841,"player","837"
2007,10,"dummy",2.2,"player__841",2.35110129974039,"player","841"
2007,10,"dummy",2.2,"player__846",1.00464309134312,"player","846"
2007,10,"dummy",2.2,"player__847",-0.087219475145631,"player","847"
2007,10,"dummy",2.2,"player__849",-0.919796186053787,"player","849"
2007,10,"dummy",2.2,"player__851",1.0435059104224,"player","851"
2007,10,"dummy",2.2,"player__860",-0.379824283596107,"player","860"
2007,10,"dummy",2.2,"player__862",0.245216015022602,"player","862"
2007,10,"dummy",2.2,"player__866",-0.907027724590846,"player","866"
2007,10,"dummy",2.2,"player__87",-1.64961978002766,"player","87"
2007,10,"dummy",2.2,"player__874",0.196463309651498,"player","874"
2007,10,"dummy",2.2,"player__879",-0.565684679585058,"player","879"
